HCC1954_siControl_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_2.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_2.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_3.fastq.gz_trimmed_featurecounts.txt
LOC105376717,0,LOC105376717,0,LOC105376717,0,LOC105376717,0,LOC105376717,0
LOC124903838,1,LOC124903838,2,LOC124903838,12,LOC124903838,9,LOC124903838,9
LZIC,186,LZIC,284,LZIC,197,LZIC,334,LZIC,286
NMNAT1,103,NMNAT1,99,NMNAT1,41,NMNAT1,90,NMNAT1,95
TMEM274P,0,TMEM274P,0,TMEM274P,0,TMEM274P,0,TMEM274P,0
MIR5697,0,MIR5697,0,MIR5697,0,MIR5697,0,MIR5697,0
LOC124903840,0,LOC124903840,0,LOC124903840,0,LOC124903840,0,LOC124903840,0
RBP7,0,RBP7,0,RBP7,0,RBP7,0,RBP7,3
UBE4B,410,UBE4B,577,UBE4B,330,UBE4B,699,UBE4B,637
KIF1B,591,KIF1B,888,KIF1B,626,KIF1B,1040,KIF1B,788
PGD,1168,PGD,2307,PGD,1414,PGD,1765,PGD,2387
